timestamp;test-class;test-method;time;description;result
2021-06-01 12:40:11.87;acme.testing.administrator.customisation.AdministratorCustomisationListTest;list;3477;[1] recordIndex=0, spamwordsEng=sex,hard core,viagra,cialis,nigeria,you've won, million dollar, threshold=10.00;OK
2021-06-01 12:39:44.571;acme.testing.administrator.customisation.AdministratorCustomisationUpdateTest;negativeUpdate;4986;[1] recordIndex=0, spamwordsEng= , threshold=10.00;OK
2021-06-01 12:39:49.429;acme.testing.administrator.customisation.AdministratorCustomisationUpdateTest;negativeUpdate;4546;[2] recordIndex=0, spamwordsEng=sex,hard core,viagra,cialis,nigeria,you've won, million dollar, threshold=-30.00;OK
2021-06-01 12:39:54.339;acme.testing.administrator.customisation.AdministratorCustomisationUpdateTest;negativeUpdate;4603;[3] recordIndex=0, spamwordsEng=sex,hard core,viagra,cialis,nigeria,you've won, million dollar, threshold=101.00;OK
2021-06-01 12:40:00.403;acme.testing.administrator.customisation.AdministratorCustomisationUpdateTest;positiveUpdate;5757;[1] recordIndex=0, spamwordsEng=sex,hard core,viagra,cialis,nigeria,you've won, million dollar, pain, threshold=30.00;OK
2021-06-01 12:40:28.472;acme.testing.administrator.dashboard.AdministratorDashboardTest;showDashboard;3317;showDashboard();OK
2021-06-01 12:40:24.855;acme.testing.administrator.dashboard.AdministratorDashboardTest;showEmptyDashboard;5091;showEmptyDashboard();OK
2021-06-01 12:37:06.292;acme.testing.anonymous.shout.AnonymousShoutCreateTest;negativeCreate;1747;[1] recordIndex=0, author= , text=descripcion, info=null;OK
2021-06-01 12:37:07.912;acme.testing.anonymous.shout.AnonymousShoutCreateTest;negativeCreate;1290;[2] recordIndex=0, author=author, text= , info=null;OK
2021-06-01 12:37:09.499;acme.testing.anonymous.shout.AnonymousShoutCreateTest;negativeCreate;1272;[3] recordIndex=0, author=author, text=descripciondescripciondescripciondescripciondescripciondescripciondescripciondescripciondescripciondescripcion, info=null;OK
2021-06-01 12:37:11.044;acme.testing.anonymous.shout.AnonymousShoutCreateTest;negativeCreate;1235;[4] recordIndex=0, author=a, text=descripcion, info=null;OK
2021-06-01 12:37:12.709;acme.testing.anonymous.shout.AnonymousShoutCreateTest;negativeCreate;1325;[5] recordIndex=0, author=authorauthorauthorauthorauthor, text=descripcion, info=null;OK
2021-06-01 12:37:14.263;acme.testing.anonymous.shout.AnonymousShoutCreateTest;negativeCreate;1240;[6] recordIndex=0, author=Viagra, text=descripcion, info=null;OK
2021-06-01 12:37:15.818;acme.testing.anonymous.shout.AnonymousShoutCreateTest;negativeCreate;1253;[7] recordIndex=0, author=author, text=Viagra, info=null;OK
2021-06-01 12:37:17.37;acme.testing.anonymous.shout.AnonymousShoutCreateTest;negativeCreate;1252;[8] recordIndex=0, author=Viagra, text=Viagra, info=null;OK
2021-06-01 12:37:20.226;acme.testing.anonymous.shout.AnonymousShoutCreateTest;positiveCreate;2545;[1] recordIndex=4, author=testShout, text=this is a shout test!, info=null;OK
2021-06-01 12:36:53.126;acme.testing.anonymous.shout.AnonymousShoutListTest;list;893;[1] recordIndex=0, moment=2021/05/15 17:13, author=autor5, text=texto5, info=null;OK
2021-06-01 12:36:54.29;acme.testing.anonymous.shout.AnonymousShoutListTest;list;807;[2] recordIndex=1, moment=2021/05/16 11:06, author=autor6, text=texto6, info=null;OK
